"Page Title","Page Path","Name","Modified Date","Modified By","Published Date","Published By","Template","Operation","Workflow","Translated","Page Views","Unique Visitors","Time on Page"
"Discussions","/content/sites/bankers/en/forums","forums","2024-06-01","msm-service","","","Social Base Page","","","Not Translated","","",""
"Blogs","/content/sites/bankers/en/blog","blog","2024-06-01","msm-service","","","Social Base Page","","","Not Translated","","",""
"Events","/content/sites/bankers/en/events","events","2024-06-01","msm-service","","","Social Base Page","","","Not Translated","","",""
"Groups","/content/sites/bankers/en/groups","groups","2024-06-01","msm-service","2024-06-01","msm-service","Social Base Page","","","Not Translated","","",""
"User Account","/content/sites/bankers/en/useraccount","useraccount","2024-06-01","msm-service","","","null","","","Not Translated","","",""
"Profile","/content/sites/bankers/en/profile","profile","2024-06-01","msm-service","","","null","","","Not Translated","","",""
"Messaging","/content/sites/bankers/en/messaging","messaging","2024-06-01","msm-service","","","Social Base Page","","","Not Translated","","",""
"Search Results","/content/sites/bankers/en/search","search","2024-06-01","msm-service","","","null","","","Not Translated","","",""
"Sign Up Page","/content/sites/bankers/en/signup","signup","2024-06-01","msm-service","","","null","","","Not Translated","","",""
"Sign In Page","/content/sites/bankers/en/signin","signin","2024-06-01","msm-service","","","null","","","Not Translated","","",""
"AEM Communities Moderation","/content/sites/bankers/en/moderation","moderation","2024-06-01","msm-service","","","null","","","Not Translated","","",""
"Notifications","/content/sites/bankers/en/notifications","notifications","2024-06-01","msm-service","","","Social Base Page","","","Not Translated","","",""
